name,county_name
Uricani,Hunedoara
Vulcan,Hunedoara
Amara,Ialomiţa
Cazăneşti,Ialomiţa
Feteşti,Ialomiţa
Fierbinţi-Tîrg,Ialomiţa
Slobozia,Ialomiţa
Ţăndarei,Ialomiţa
Urziceni,Ialomiţa
Hârlău,Iaşi
Iaşi,Iaşi
Paşcani,Iaşi
Podu Iloaiei,Iaşi
Târgu Frumos,Iaşi
Bragadiru,Ilfov
Buftea,Ilfov
Chitila,Ilfov
Măgurele,Ilfov
Otopeni,Ilfov
Pantelimon,Ilfov
Popeşti - Leordeni,Ilfov
Voluntari,Ilfov
Baia Mare,Maramureş
Baia Sprie,Maramureş
Borşa,Maramureş
Cavnic,Maramureş
Dragomireşti,Maramureş
Săliştea de Sus,Maramureş
Seini,Maramureş
Sighetu Marmaţiei,Maramureş
Şomcuta Mare,Maramureş
Ulmeni,Maramureş
Târgu Lăpuş,Maramureş
Tăuţii Măgherăuş,Maramureş
Vişeu de Sus,Maramureş
Baia de Aramă,Mehedinţi
Drobeta-Turnu Severin,Mehedinţi
Orşova,Mehedinţi
Strehaia,Mehedinţi
Vânju Mare,Mehedinţi
Iernut,Mureş
Luduş,Mureş
Miercurea Nirajului,Mureş
Reghin,Mureş
Sângeorgiu de Pădure,Mureş
Sărmaşu,Mureş
Sighişoara,Mureş
Sovata,Mureş
Târgu Mureş,Mureş
Târnăveni,Mureş
Ungheni,Mureş
Bicaz,Neamţ
Piatra-Neamţ,Neamţ
Roman,Neamţ
Roznov,Neamţ
Târgu Neamţ,Neamţ
Balş,Olt
Caracal,Olt
Corabia,Olt
Drăgăneşti-Olt,Olt
Piatra-Olt,Olt
Potcoava,Olt
Scorniceşti,Olt
Slatina,Olt
Azuga,Prahova
Băicoi,Prahova
Boldeşti Scăieni,Prahova
Breaza,Prahova
Buşteni,Prahova
Câmpina,Prahova
Comarnic,Prahova
Mizil,Prahova
Ploieşti,Prahova
Plopeni,Prahova
Sinaia,Prahova
Slănic,Prahova
Urlaţi,Prahova
Vălenii de Munte,Prahova
Ardud,Satu Mare
Carei,Satu Mare
Livada,Satu Mare
Negreşti-Oaş,Satu Mare
Satu Mare,Satu Mare
Tăşnad,Satu Mare
Cehu Silvaniei,Sălaj
Jibou,Sălaj
Şimleu Silvaniei,Sălaj
Zalău,Sălaj
Agnita,Sibiu
Avrig,Sibiu
Cisnădie,Sibiu
Copşa Mică,Sibiu
Dumbrăveni,Sibiu
Mediaş,Sibiu
Miercurea Sibiului,Sibiu
Ocna Sibiului,Sibiu
Sălişte,Sibiu
Sibiu,Sibiu
Tălmaciu,Sibiu
Broşteni,Suceava
Cajvana,Suceava
Câmpulung Moldovenesc,Suceava
Dolhasca,Suceava
Fălticeni,Suceava
Frasin,Suceava
Gura Humorului,Suceava
Liteni,Suceava
Milişăuţi,Suceava
Rădăuţi,Suceava
Salcea,Suceava
Siret,Suceava
Solca,Suceava
Suceava,Suceava
Vatra Dornei,Suceava
Vicovu de Sus,Suceava
Alexandria,Teleorman
Turnu Măgurele,Teleorman
Roşiorii de Vede,Teleorman
Zimnicea,Teleorman
Videle,Teleorman
Buziaş,Timiş
Ciacova,Timiş
Deta,Timiş
Făget,Timiş
Gătaia,Timiş
Jimbolia,Timiş
Lugoj,Timiş
Recaş,Timiş
Sânnicolau Mare,Timiş
Timişoara,Timiş
Babadag,Tulcea
Isaccea,Tulcea
Măcin,Tulcea
Sulina,Tulcea
Tulcea,Tulcea
Bârlad,Vaslui
Huşi,Vaslui
Murgeni,Vaslui
Negreşti,Vaslui
Vaslui,Vaslui
Băbeni,Vâlcea
Băile Govora,Vâlcea
Băile Olăneşti,Vâlcea
Bălceşti,Vâlcea
Berbeşti,Vâlcea
Brezoi,Vâlcea
Călimăneşti,Vâlcea
Drăgăsani,Vâlcea
Horezu,Vâlcea
Ocnele Mari,Vâlcea
Râmnicu Vâlcea,Vâlcea
Adjud,Vrancea
Focşani,Vrancea
Mărăşesti,Vrancea
Odobeşti,Vrancea
Panciu,Vrancea
București,București
